BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,YEAR,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,NTA,OWNER_RICHNESS,BIN_POPULARNESS,LTFRONT_WAS_NAN,LTDEPTH_WAS_NAN,STORIES_WAS_NAN,EXLAND_WAS_NAN,EXTOT_WAS_NAN,BLDFRONT_WAS_NAN,BLDDEPTH_WAS_NAN,AVLAND2_WAS_NAN,AVTOT2_WAS_NAN,EXLAND2_WAS_NAN,EXTOT2_WAS_NAN,Latitude_WAS_NAN,Longitude_WAS_NAN
C0,1,40.0,100.0,G,2.5,855000,12769,39132,98540.41012852485,335868.59502753214,nan_val,24.0,48.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.694933,-73.857917,409.0 category,32.0 category,14.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
B3,1,24.0,100.0,E,2.5,566000,11270,25214,98540.41012852485,335868.59502753214,nan_val,18.0,43.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.690545,-73.856462,409.0 category,32.0 category,16.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A0,1,40.0,100.0,nan_val,1.5,534000,15780,32040,1470.0,1470.0,1017.0,24.0,34.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.744173,-73.71087,413.0 category,23.0 category,157902.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A5,1,18.0,100.0,G,2.0,453000,9470,21777,9470.0,12359.0,1010.0,18.0,35.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.689126,-73.848287,409.0 category,32.0 category,20.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A1,1,40.0,100.0,G,2.0,719000,11049,31032,3210.0,3210.0,1017.0,24.0,36.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.728385,-73.708838,413.0 category,23.0 category,157903.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
C0,1,20.0,100.0,nan_val,2.0,635000,11233,28305,1470.0,1470.0,1017.0,20.0,55.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.680669,-73.862796,409.0 category,32.0 category,42.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A1,1,41.0,150.0,nan_val,2.0,660000,21540,39600,1470.0,1470.0,1017.0,25.0,42.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.749718,-73.706886,413.0 category,23.0 category,155102.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
S2,1,16.0,101.0,nan_val,3.0,622000,8366,26280,98540.41012852485,335868.59502753214,nan_val,16.0,50.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.692372,-73.860475,409.0 category,32.0 category,12.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A2,1,45.0,100.0,nan_val,1.6,534000,17280,32040,98540.41012852485,335868.59502753214,nan_val,33.0,25.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.752846,-73.704386,413.0 category,23.0 category,155102.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
B1,1,20.0,100.0,nan_val,2.0,632000,14822,29738,98540.41012852485,335868.59502753214,nan_val,20.0,55.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.6957,-73.850796,409.0 category,32.0 category,22.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
